"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","5.5","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","5.6","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","6.7","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","9.2","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","11.9","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","13.0","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","12.3","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","11.4","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","10.2","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","9.2","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","8.2","","","","1"
"2020-12","Canada","2016A000011124","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445773","1.5.1.2","8.0","","","","1"
"2020-01","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","12.2","","","","1"
"2020-02","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","13.0","","","","1"
"2020-03","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","13.4","","","","1"
"2020-04","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","14.8","","","","1"
"2020-05","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","16.1","","","","1"
"2020-06","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","16.7","","","","1"
"2020-07","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","15.7","","","","1"
"2020-08","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","14.0","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","13.2","","","","1"
"2020-10","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","11.9","","","","1"
"2020-11","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","11.7","","","","1"
"2020-12","Newfoundland and Labrador","2016A000210","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445787","2.5.1.2","11.6","","","","1"
"2020-01","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","7.2","","","","1"
"2020-02","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","8.1","","","","1"
"2020-03","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","8.6","","","","1"
"2020-04","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","10.1","","","","1"
"2020-05","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","11.3","","","","1"
